,model,price,rating,processor,graphic_card,core,display,ram,os,internal_storage
0,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹49,490",70,5th Gen AMD Ryzen 5 5600H,4 GB AMD Radeon RX 6500M,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels, Touch Screen",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
1,Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),"₹1,02,990",78,14th Gen Intel Core i9 14900HX,8 GB NVIDIA GeForce RTX 4060,"24 Cores (8P + 16E), 32 Threads","16.1 inches, 2560 x 1600 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
2,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹81,490",73,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 3050,"Octa Core, 16 Threads","16.1 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
3,Asus TUF F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹49,990",64,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
4,Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹52,990",66,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
5,HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹61,990",64,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,"Octa Core (4P + 4E), 12 Threads","16.1 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
6,HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹56,490",69,7th Gen Amd Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
7,Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹77,490",59,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 4050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 SDRAM RAM,Windows 11 OS,512 GB SSD
8,Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,499",64,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
9,HP Victus 15-fa1128TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹65,990",64,13th Gen Intel Core i5 13420H,4 GB NVIDIA GeForce RTX 2050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
10,Lenovo Legion 9i 83AG0044IN Laptop (13th Gen Core i9/ 32GB/ 2TB SSD/ Win11/ 16GB Graph),"₹4,49,990",89,13th Gen Intel Core i9 13980HX,16 GB NVIDIA GeForce RTX 4090,"24 Cores (8P + 16E), 32 Threads","16 inches, 3200 x 2000 pixels",32 GB DDR5 RAM,Windows 11 OS,2 TB SSD
11,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹74,990",71,11th Gen Intel Core i7 11800H,4 GB NVIDIA GeForce RTX 3050 Ti,"Octa Core, 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,1 TB SSD
12,HP Omen 16-xf0060AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,14,990",78,7th Gen AMD Ryzen 7 7840HS,8 GB NVIDIA GeForce RTX 4060,"Octa Core, 16 Threads","16 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
13,Lenovo LOQ 15IRH8 82XV00BRIN 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,04,990",60,13th Gen Intel Core i7,"15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD,1 Year Warranty,8 GB NVIDIA GeForce RTX 4060
14,HP Omen 16-wd0880TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹89,990",64,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 4050,"Octa Core (4P + 4E), 12 Threads","16.1 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
15,HP Victus 15-fa0666TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹67,990",62,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 3050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
16,Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹59,990",66,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce RTX 3050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
17,Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹79,990",68,13th Gen Intel Core i5 13450HX,6 GB NVIDIA GeForce RTX 3050,"10 Cores (6P + 4E), 16 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,1 TB SSD
18,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹84,990",74,6th Gen AMD Ryzen 9 6900HS​,4 GB ‎NVIDIA GeForce RTX 3050,"Octa Core, 16 Threads","13.4 inches, 1920 x 1200 pixels, Touch Screen",16 GB LPDDR5 RAM,Windows 11 OS,512 GB SSD
19,MSI Titan 18 HX Gaming Laptop (14th Gen Core i9/ 32GB/ 2TB SSD/ Win11 Home/ RTX 4090),"₹5,99,990",87,14th Gen Intel Core i9 14900HX,"18 inches, 3840 x 2400 pixels",32 GB DDR5 RAM,Windows 11 OS,2 TB SSD,2 Year Warranty,16 GB NVIDIA GeForce RTX 4090
20,Lenovo Legion Pro 5 161IRX9 Laptop (14th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,49,990",69,Intel Core i9 14900HX,8 GB NVIDIA GeForce RTX 4070,"24 Cores (8P + 16E), 32 Threads","16 inches, 2560 x 1600 pixels",32 GB DDR5 RAM,Windows 11 OS,1 TB SSD
21,HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹66,990",68,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,1 TB SSD
22,MSI Bravo 15 B7ED-012IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹45,990",61,7th Gen AMD Ryzen 5 7535HS,4 GB AMD Radeon RX6550M,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR5 RAM,Windows 11 OS,512 GB SSD
23,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹84,990",72,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 3050,"Octa Core, 16 Threads","16.1 inches, 1920 x 1080 pixels",16 GB DDR5 RAM,Windows 11 OS,512 GB SSD
24,Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹52,990",66,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,"Octa Core (4P + 4E), 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
25,Asus TUF Gaming F15  FX506HF-HN075W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹48,990",62,11th Gen Intel Core i5 11260H,4 GB NVIDIA GeForce RTX 2050,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",8 GB DDR4 RAM,Windows 11 OS,512 GB SSD
26,HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹52,499",68,5th Gen AMD Ryzen 5 5600H,4 GB AMD Radeon RX 6500M Graphics,"Hexa Core, 12 Threads","15.6 inches, 1920 x 1080 pixels",16 GB DDR4 RAM,Windows 11 OS,512 GB SSD
